primary_procedure_id,coa_requirement_keys
NEUROSURGERY_002,"[""coa.case.anatomic.intracranial_open""]"
NEUROSURGERY_003,"[""coa.case.anatomic.intracranial_open""]"
NEUROSURGERY_004,"[""coa.case.anatomic.intracranial_open""]"
NEUROSURGERY_005,"[""coa.case.anatomic.intracranial_open""]"
NEUROSURGERY_006,"[""coa.case.anatomic.intracranial_open""]"
NEUROSURGERY_007,"[""coa.case.anatomic.intracranial_open""]"
NEUROSURGERY_008,"[""coa.case.anatomic.intracranial_open""]"
NEUROSURGERY_009,"[""coa.case.anatomic.intracranial_open""]"
NEUROSURGERY_010,"[""coa.case.anatomic.intracranial_closed""]"
NEUROSURGERY_011,"[""coa.case.anatomic.intracranial_closed""]"
NEUROSURGERY_012,"[""coa.case.anatomic.intracranial_closed""]"
NEUROSURGERY_013,"[""coa.case.anatomic.intracranial_closed""]"
NEUROSURGERY_014,"[""coa.case.anatomic.intracranial_open""]"
NEUROSURGERY_015,"[""coa.case.anatomic.intracranial_open""]"
NEUROSURGERY_016,"[""coa.case.anatomic.intracranial_closed""]"
ENT_001,"[""coa.case.anatomic.oropharyngeal""]"
ENT_002,"[""coa.case.anatomic.oropharyngeal""]"
ENT_003,"[""coa.case.anatomic.oropharyngeal""]"
ENT_004,"[""coa.case.anatomic.oropharyngeal""]"
ENT_005,"[""coa.case.anatomic.oropharyngeal""]"
ENT_006,"[""coa.case.anatomic.oropharyngeal""]"
ENT_007,"[""coa.case.anatomic.oropharyngeal""]"
ENT_008,"[""coa.case.anatomic.oropharyngeal""]"
ENT_009,"[""coa.case.anatomic.oropharyngeal""]"
ENT_010,"[""coa.case.anatomic.oropharyngeal""]"
ENT_011,"[""coa.case.anatomic.oropharyngeal""]"
ENT_012,"[""coa.case.anatomic.oropharyngeal""]"
ENT_013,"[""coa.case.anatomic.oropharyngeal""]"
ENT_014,"[""coa.case.anatomic.oropharyngeal""]"
ENT_015,"[""coa.case.anatomic.oropharyngeal"", ""coa.case.anatomic.neck""]"
ENT_016,"[""coa.case.anatomic.oropharyngeal"", ""coa.case.anatomic.neck""]"
ENT_017,"[""coa.case.anatomic.neck""]"
ENT_018,"[""coa.case.anatomic.neck""]"
ENT_019,"[""coa.case.anatomic.neck""]"
ENT_020,"[""coa.case.anatomic.neck""]"
ENT_021,"[""coa.case.anatomic.neck""]"
ENT_022,"[""coa.case.anatomic.neck""]"
ENT_023,"[""coa.case.anatomic.neck""]"
ENT_024,"[""coa.case.anatomic.neck""]"
ENT_025,"[""coa.case.anatomic.oropharyngeal""]"
ENT_026,"[""coa.case.anatomic.oropharyngeal""]"
ENT_027,"[""coa.case.anatomic.oropharyngeal""]"
ENT_028,"[""coa.case.anatomic.oropharyngeal""]"
ENT_029,"[""coa.case.anatomic.oropharyngeal""]"
ENT_030,"[""coa.case.anatomic.oropharyngeal""]"
ENT_031,"[""coa.case.anatomic.oropharyngeal""]"
ENT_032,"[""coa.case.anatomic.oropharyngeal""]"
ENT_033,"[""coa.case.anatomic.neck"", ""coa.case.anatomic.oropharyngeal""]"
EYE_001,[]
EYE_002,[]
EYE_003,[]
EYE_004,[]
EYE_005,[]
EYE_006,[]
EYE_007,[]
EYE_008,"[""coa.case.anatomic.oropharyngeal""]"
EYE_009,[]
EYE_010,[]
ENDOCRINE_001,"[""coa.case.anatomic.intra_abdominal""]"
ENDOCRINE_002,"[""coa.case.anatomic.intra_abdominal""]"
ENDOCRINE_003,"[""coa.case.anatomic.neck""]"
ENDOCRINE_004,"[""coa.case.anatomic.intra_abdominal""]"
PLASTIC_001,"[""coa.case.anatomic.neck""]"
PLASTIC_002,[]
PLASTIC_003,[]
PLASTIC_004,[]
PLASTIC_005,[]
PLASTIC_006,"[""coa.case.anatomic.intra_abdominal""]"
PLASTIC_007,[]
TRANSPLANT_001,"[""coa.case.anatomic.intra_abdominal""]"
TRANSPLANT_002,"[""coa.case.anatomic.intra_abdominal""]"
TRANSPLANT_003,"[""coa.case.anatomic.intra_abdominal""]"
TRANSPLANT_004,"[""coa.case.anatomic.intra_abdominal""]"
TRANSPLANT_005,"[""coa.case.anatomic.intra_abdominal""]"
