pdf_procedure_id,primary_procedure_id,default_modifiers,mapping_confidence,needs_review
tosp_sb701h,pap_reconstruction_including_multiple_joint_synovectomy_bone_joint_procedures,[],low,true
tosp_sb701j,pap_joints_arthroscopy,"[""bilateral""]",high,false
tosp_sb701k,pap_knee_ligaments_meniscus_cartilage_bone_combined_acl_or_pcl_reconstruction,"[""minimally_invasive""]",med,false
tosp_sb701m,pap_mandible_or_maxilla_bony_protuberance_excision,[],high,false
tosp_sb701r,pap_radius_and_ulna_fracture_dislocation_non_union_delayed_union_bone_grafting_only,[],high,false
tosp_sb701s,pap_shoulder_fracture_dislocation_reduction_and_internal_fixation,"[""open""]",med,false
tosp_sb701t,pap_tibia_fracture_reduction_and_internal_fixation_comminuted,"[""open""]",low,true
tosp_sb701u,pap_upper_limb_lower_limb_major_soft_tissue_defects_free_flap,[],high,false
tosp_sb701w,pap_wrist_avascular_necrosis_radial_recession_ulnar_lengthening,[],high,false
tosp_sb702a,pap_ankle_ligamentous_instability_reconstruction_of_ligaments,[],high,false
tosp_sb702b,pap_bone_tumor_excision_and_extensive_reconstruction,[],high,false
tosp_sb702c,pap_clavicle_clavicle_fracture_delayed_union_revision_and_orif,[],low,true
tosp_sb702d,pap_digit_soft_tissue_defect_large_complex_pedicled_flaps,[],high,false
tosp_sb702e,pap_elbow_coronoid_fracture_orif,[],high,false
tosp_sb702f,pap_femur_delayed_non_union,[],low,true
tosp_sb702h,pap_hand_and_wrist_rheumatoid_hand_reconstruction_including_synovectomy_bone_joint_p,[],low,true
tosp_sb702j,pap_joints_arthroscopy_diagnostic,[],high,false
tosp_sb702k,pap_knee_hemarthrosis_aspiration_under_local_anesthesia,[],high,false
tosp_sb702m,pap_mandible_or_maxilla_dental_implant_osseointegrated_trephine_removal,[],high,false
tosp_sb702s,pap_shoulder_fracture_dislocation_reduction_and_internal_fixation,"[""open""]",med,false
tosp_sb702t,pap_tibia_tibial_plateau_comminuted_bicondylar_orif,[],high,false
tosp_sb702u,pap_upper_limb_lower_limb_major_soft_tissue_defects_pedicled_flap,[],high,false
tosp_sb702w,pap_wrist_distal_or_radial_ulnar_joint_instability_complex_ligament_reconstruction,[],high,false
tosp_sb703a,pap_ankle_primary_total_joint_replacement_requiring_extra_implants_or_bone_grafts,[],low,true
tosp_sb703b,pap_bone_exostosis_excision,"[""bilateral"", ""biopsy""]",med,false
tosp_sb703d,pap_digit_soft_tissue_defect_simple_skin_flap,[],high,false
tosp_sb703e,pap_elbow_dislocation_ligament_repair_complex,[],low,true
tosp_sb703f,pap_femur_fracture_reduction_and_internal_fixation,"[""open""]",low,true
tosp_sb703h,pap_hand_closed_fracture_orif_non_joint_procedures,[],high,false
tosp_sb703j,pap_joints_septic_arthritis_curettage_debridement_and_irrigation,[],high,false
tosp_sb703k,pap_knee_ligaments_meniscus_cartilage_bone_combined_ligament_reconstruction,"[""minimally_invasive""]",low,true
tosp_sb703m,pap_mandible_or_maxilla_tumor_marginal_resection,[],low,true
tosp_sb703p,pap_pelvis_fracture_anterior_fixation,[],high,false
tosp_sb703t,pap_tibia_tibial_plateau_unicondylar_comminuted_simple_bicondylar_orif,[],high,false
tosp_sb703u,pap_upper_limb_lower_limb_malignant_tumour_soft_tissue_radical_excision,[],high,false
tosp_sb703w,pap_wrist_distal_or_radial_ulnar_joint_instability_darrach_or_similar_procedure,[],high,false
tosp_sb704a,pap_ankle_revision_total_joint_replacement,[],high,false
tosp_sb704b,pap_bone_tumor_major_excision_3_cm,[],low,true
tosp_sb704e,pap_elbow_dislocation_ligament_repair,[],high,false
tosp_sb704h,pap_hand_closed_fracture_orif_plate_and_screws_joint_non_joint,[],high,false
tosp_sb704j,pap_joints_septic_arthritis_simple_drainage,[],high,false
tosp_sb704k,pap_knee_ligaments_meniscus_cartilage_bone_combined_ligament_reconstruction,"[""minimally_invasive""]",low,true
tosp_sb704m,pap_mandible_or_maxilla_segmental_osteotomy_and_insertion_of_device_for_distraction,[],high,false
tosp_sb704p,pap_pelvis_fracture_posterior_fixation,[],high,false
tosp_sb704s,pap_sacrum_fracture_reduction_and_internal_fixation,"[""open""]",med,false
tosp_sb704t,pap_tibia_tibial_plateau_unicondylar_orif,[],high,false
tosp_sb704u,pap_upper_limb_lower_limb_upper_limb_fractures_minimally_invasive_fixation,[],high,false
tosp_sb704w,pap_wrist_distal_radius_fracture_m_r_pinning,"[""percutaneous""]",med,false
tosp_sb705a,pap_ankle_therapeutic_arthroscopy,[],high,false
tosp_sb705b,pap_bone_tumour_local_ablation_simple_1_lesion,"[""imaging_guided"", ""percutaneous""]",med,false
tosp_sb705e,pap_elbow_fracture_dislocation_reduction_and_internal_fixation,"[""open""]",med,false
tosp_sb705f,pap_femur_fracture_intramedullary_nailing,[],low,true
